#DEBUG: Format Typ    -> tdf
#DEBUG: Time Period   -> 2016-01-01 00:00:00+00:00 2019-02-05 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station	valid	 metar 
ELP	2016-01-02 04:47	KELP 020447Z 07005KT 10SM BKN014 OVC024 03/M02 A3039 RMK AO2 CLDS TPG MTNS SW-NW
ELP	2016-01-02 04:51	KELP 020451Z 07005KT 10SM BKN014 OVC024 03/M02 A3039 RMK AO2 SLP285 CLDS TPG MTNS SW-NW T00281017
ELP	2016-01-02 05:51	KELP 020551Z 07004KT 10SM BKN014 OVC020 02/M02 A3039 RMK AO2 SLP284 MTNS PTLY OBSCD SW-NW T00221017 10039 20022 50000
ELP	2016-01-02 06:51	KELP 020651Z 06004KT 10SM BKN014 OVC020 02/M01 A3037 RMK AO2 SLP278 MTNS PTLY OBSCD SW-NW T00221011 400440022
ELP	2016-01-02 07:46	KELP 020746Z 03004KT 10SM OVC014 02/M01 A3036 RMK AO2 MT TOPS OBSCD SW-NW
ELP	2016-01-02 07:51	KELP 020751Z 04004KT 10SM OVC014 02/M01 A3036 RMK AO2 SLP275 MT TOPS OBSCD SW-NW T00171006
ELP	2016-01-02 08:51	KELP 020851Z 36005KT 10SM OVC014 02/M01 A3035 RMK AO2 SLP273 CLDS TPG MT SW-NW T00171006 56009
ELP	2016-01-02 09:51	KELP 020951Z 02006KT 10SM SCT014 OVC023 02/00 A3034 RMK AO2 SLP269 T00170000
ELP	2016-01-02 10:51	KELP 021051Z 01005KT 10SM SCT017 OVC023 02/00 A3033 RMK AO2 SLP266 OCNL CLDS TOPG MT SW-NW T00170000
ELP	2016-01-02 11:29	KELP 021129Z 01005KT 10SM FEW005 OVC017 02/01 A3032 RMK AO2 MT TOP OBSCD SW-NW T00170006
ELP	2016-01-02 11:42	KELP 021142Z 36005KT 8SM BKN004 OVC016 02/01 A3032 RMK AO2 MT TOP OBSCD SW-NW T00170006
ELP	2016-01-02 11:51	KELP 021151Z 35005KT 8SM OVC004 02/01 A3033 RMK AO2 SLP263 MT TOP OBSCD SW-NW T00170006 10022 20017 56008
ELP	2016-01-02 12:51	KELP 021251Z 01007KT 10SM SCT004 BKN008 OVC025 02/01 A3032 RMK AO2 SLP263 OCNL MT TOPS OBSCD SW-NW T00170006
ELP	2016-01-02 13:10	KELP 021310Z 01006KT 10SM FEW004 BKN014 OVC025 02/01 A3033 RMK AO2 T00170006
ELP	2016-01-02 13:19	KELP 021319Z 01006KT 10SM FEW007 OVC025 02/01 A3033 RMK AO2 OCNL MT OBSCD SW-NW T00170006
ELP	2016-01-02 13:51	KELP 021351Z 02005KT 10SM SCT009 OVC026 02/01 A3034 RMK AO2 SLP269 OCNL MT OBSCD SW-NW T00170006
ELP	2016-01-02 13:57	KELP 021357Z 01005KT 10SM SCT009 BKN026 OVC045 02/01 A3035 RMK AO2 T00170006
ELP	2016-01-02 14:06	KELP 021406Z 02005KT 10SM FEW009 FEW026 OVC045 02/01 A3035 RMK AO2 OCNL MT OBSCD SW-NW T00220006
ELP	2016-01-02 14:13	KELP 021413Z 01004KT 10SM BKN006 OVC045 02/01 A3035 RMK AO2 OCNL MT OBSCD SW-NW T00220006
ELP	2016-01-02 14:51	KELP 021451Z 36007KT 10SM OVC006 02/01 A3034 RMK AO2 SLP270 MT OBSCD SW-NW T00220006 53005
ELP	2016-01-02 14:58	KELP 021458Z 36006KT 10SM OVC006 02/01 A3035 RMK AO2 T00220006
ELP	2016-01-02 15:51	KELP 021551Z 01004KT 10SM BKN006 OVC027 02/01 A3037 RMK AO2 SLP278 MT OBSCD SW-NW T00220006
ELP	2016-01-02 16:51	KELP 021651Z 36004KT 10SM BKN006 BKN017 OVC030 03/01 A3038 RMK AO2 SLP281 MT OBSCD SW-NW T00280006
ELP	2016-01-02 17:32	KELP 021732Z 35005KT 10SM SCT010 OVC028 04/01 A3037 RMK AO2 CLDS TPG MTNS SW-NW T00390006
ELP	2016-01-02 17:51	KELP 021751Z 36004KT 10SM FEW012 OVC028 04/00 A3036 RMK AO2 SLP275 CLDS TPG MTNS SW-NW T00390000 10039 20017 50006
ELP	2016-01-02 18:51	KELP 021851Z 01008KT 10SM FEW018 OVC028 05/00 A3033 RMK AO2 SLP260 CLDS TPG MTNS SW-NW T00500000
ELP	2016-01-02 19:51	KELP 021951Z 36008KT 10SM FEW022 OVC028 06/00 A3030 RMK AO2 SLP250 CLDS TPG MTNS SW AND NW T00560000
ELP	2016-01-02 20:51	KELP 022051Z 35004KT 10SM BKN023 OVC038 05/M01 A3028 RMK AO2 SLP246 CLDS TPG MTNS SW AND NW T00501006 56025
ELP	2016-01-02 21:51	KELP 022151Z 02005KT 10SM BKN023 05/M01 A3028 RMK AO2 SLP244 CLDS TPG MTNS NW T00501006
ELP	2016-01-02 22:51	KELP 022251Z 05005KT 10SM BKN024 05/M01 A3027 RMK AO2 SLP243 CLDS TPG MTNS NW T00501011
ELP	2016-01-02 23:51	KELP 022351Z 04006KT 10SM BKN025 05/M01 A3027 RMK AO2 SLP242 CLDS TPG MTNS NW T00501011 10056 20039 56003
ELP	2016-01-03 00:51	KELP 030051Z 00000KT 10SM BKN026 04/M01 A3028 RMK AO2 SLP245 CLDS TPG MTNS NW T00441011
ELP	2016-01-03 01:41	KELP 030141Z 17003KT 10SM SCT027 04/M01 A3028 RMK AO2 T00391011
ELP	2016-01-03 01:51	KELP 030151Z 00000KT 10SM SCT027 04/M01 A3028 RMK AO2 SLP247 T00391011
ELP	2016-01-03 02:51	KELP 030251Z 17003KT 10SM FEW028 03/M01 A3030 RMK AO2 SLP254 T00331011 53008
ELP	2016-01-03 03:51	KELP 030351Z 00000KT 10SM FEW028 02/M02 A3031 RMK AO2 SLP259 T00221017
ELP	2016-01-03 04:51	KELP 030451Z 17003KT 10SM FEW028 02/M02 A3031 RMK AO2 SLP260 T00171017
ELP	2016-01-03 05:51	KELP 030551Z 23003KT 10SM FEW028 02/M02 A3032 RMK AO2 SLP263 T00171017 10050 20006 53008
ELP	2016-01-03 06:51	KELP 030651Z 11005KT 10SM FEW028 M01/M02 A3032 RMK AO2 SLP265 T10061022 400561006
ELP	2016-01-03 07:51	KELP 030751Z 10005KT 10SM FEW028 M02/M03 A3031 RMK AO2 SLP260 T10171033
ELP	2016-01-03 08:51	KELP 030851Z 08003KT 7SM BCFG CLR M02/M03 A3031 RMK AO2 SLP262 T10221033 57003
ELP	2016-01-03 09:51	KELP 030951Z 09005KT 10SM FEW300 M02/M04 A3030 RMK AO2 SLP259 T10221039
ELP	2016-01-03 10:51	KELP 031051Z 00000KT 10SM FEW300 M02/M04 A3030 RMK AO2 SLP258 T10221039
ELP	2016-01-03 11:51	KELP 031151Z 04003KT 10SM FEW300 M02/M04 A3030 RMK AO2 SLP256 T10221039 10017 21028 56005
ELP	2016-01-03 12:51	KELP 031251Z 02003KT 10SM FEW300 M02/M04 A3030 RMK AO2 SLP262 T10221039
ELP	2016-01-03 13:51	KELP 031351Z 03005KT 10SM CLR M03/M04 A3031 RMK AO2 SLP266 T10281044
ELP	2016-01-03 14:51	KELP 031451Z 02005KT 10SM CLR M02/M04 A3033 RMK AO2 SLP273 T10221039 53011
ELP	2016-01-03 15:51	KELP 031551Z 01003KT 10SM CLR 00/M02 A3036 RMK AO2 SLP280 VIS NW 3FZFG MT NW OBSCD T00001022
ELP	2016-01-03 16:51	KELP 031651Z 03004KT 10SM CLR 02/M01 A3037 RMK AO2 SLP281 VIS LWR NW T00221011
ELP	2016-01-03 17:51	KELP 031751Z 01003KT 10SM CLR 04/00 A3036 RMK AO2 SLP272 T00440000 10050 21028 50007
ELP	2016-01-03 18:51	KELP 031851Z 00000KT 10SM CLR 06/00 A3032 RMK AO2 SLP261 T00610000
ELP	2016-01-03 19:51	KELP 031951Z 00000KT 10SM CLR 08/M01 A3028 RMK AO2 SLP245 T00781011
ELP	2016-01-03 20:51	KELP 032051Z 03003KT 10SM CLR 09/M01 A3025 RMK AO2 SLP233 T00891006 56033
ELP	2016-01-03 21:51	KELP 032151Z 00000KT 10SM CLR 09/M01 A3023 RMK AO2 SLP227 T00941006
ELP	2016-01-03 22:51	KELP 032251Z 00000KT 10SM CLR 09/M01 A3023 RMK AO2 SLP225 T00941006
ELP	2016-01-03 23:51	KELP 032351Z 00000KT 10SM CLR 09/M01 A3022 RMK AO2 SLP225 T00891006 10100 20044 56007
ELP	2016-01-04 00:51	KELP 040051Z 00000KT 10SM CLR 08/00 A3023 RMK AO2 SLP228 T00780000
ELP	2016-01-04 01:51	KELP 040151Z 00000KT 10SM CLR 08/M01 A3024 RMK AO2 SLP233 T00781006
ELP	2016-01-04 02:51	KELP 040251Z 04005KT 10SM CLR 06/00 A3024 RMK AO2 SLP238 T00560000 52007
ELP	2016-01-04 03:51	KELP 040351Z 06007KT 10SM CLR 03/M01 A3024 RMK AO2 SLP238 T00281006
ELP	2016-01-04 04:51	KELP 040451Z 06004KT 10SM CLR 03/M01 A3025 RMK AO2 SLP236 T00281011
ELP	2016-01-04 05:51	KELP 040551Z 00000KT 10SM CLR 03/M01 A3025 RMK AO2 SLP234 T00281011 10089 20022 53002
ELP	2016-01-04 06:51	KELP 040651Z 01004KT 10SM CLR 02/M02 A3024 RMK AO2 SLP230 T00221017 401001028
ELP	2016-01-04 07:51	KELP 040751Z 00000KT 10SM FEW030 02/M02 A3025 RMK AO2 SLP229 T00171022
ELP	2016-01-04 08:51	KELP 040851Z 04007KT 10SM FEW030 SCT250 01/M03 A3024 RMK AO2 SLP227 T00061028 56002
ELP	2016-01-04 09:51	KELP 040951Z 02005KT 10SM FEW030 SCT250 01/M03 A3023 RMK AO2 SLP223 T00061028
ELP	2016-01-04 10:51	KELP 041051Z 36004KT 10SM SCT250 00/M03 A3023 RMK AO2 SLP223 T00001033
ELP	2016-01-04 11:51	KELP 041151Z 02005KT 10SM FEW120 FEW250 00/M03 A3022 RMK AO2 SLP220 T00001033 10028 21006 58008
ELP	2016-01-04 12:51	KELP 041251Z 03007KT 10SM BKN021 BKN120 02/M03 A3022 RMK AO2 SLP219 CLDS TPG MTNS W-NW T00171033
ELP	2016-01-04 13:26	KELP 041326Z 03006KT 10SM SCT022 SCT120 BKN250 01/M04 A3023 RMK AO2 CLDS TPG MTNS W-NW T00111044
ELP	2016-01-04 13:51	KELP 041351Z 03008KT 10SM BKN025 BKN120 01/M04 A3022 RMK AO2 SLP223 BKN025 V SCT025 CLDS TPG MTNS W-NW T00111039
ELP	2016-01-04 14:51	KELP 041451Z 06007KT 10SM BKN025 BKN120 02/M04 A3023 RMK AO2 SLP228 CLDS TPG MTNS W-NW T00171039 53006
ELP	2016-01-04 15:51	KELP 041551Z 03005KT 10SM SCT023 SCT120 BKN250 04/M03 A3024 RMK AO2 SLP233 CLDS TPG MTNS SW-NW T00391028
ELP	2016-01-04 16:51	KELP 041651Z 11011G16KT 10SM SCT021 BKN028 BKN120 07/00 A3023 RMK AO2 SLP222 CLDS TPG MTNS SW-NW T00670000
ELP	2016-01-04 17:51	KELP 041751Z 12009KT 10SM BKN026 OVC090 06/M01 A3021 RMK AO2 SLP219 CLDS TPG MTNS SW-NW T00611011 10067 21006 58006
ELP	2016-01-04 18:51	KELP 041851Z 12012KT 10SM BKN025 OVC090 07/01 A3015 RMK AO2 PRESFR SLP196 CLDS TPG MTNS SW-NW T00720011
ELP	2016-01-04 19:51	KELP 041951Z 13009KT 10SM BKN025 OVC030 08/02 A3011 RMK AO2 SLP181 CLDS TPG MTNS SW-NW T00780017
ELP	2016-01-04 20:51	KELP 042051Z 12007KT 10SM BKN026 OVC035 08/01 A3008 RMK AO2 SLP171 CLDS TPG MTNS SW AND W-NW T00830011 56042
ELP	2016-01-04 21:51	KELP 042151Z 12009KT 10SM BKN026 OVC035 08/02 A3007 RMK AO2 SLP167 T00830017
ELP	2016-01-04 22:51	KELP 042251Z 10009KT 10SM BKN026 OVC035 08/02 A3007 RMK AO2 SLP167 CLDS TPG MTNS NW T00830022
ELP	2016-01-04 23:51	KELP 042351Z 11012KT 10SM BKN028 OVC035 08/02 A3006 RMK AO2 SLP167 CLDS TPG MTNS NW BINOVC T00780017 10083 20061 56005
ELP	2016-01-05 00:51	KELP 050051Z 10012KT 10SM BKN028 OVC035 08/02 A3006 RMK AO2 SLP165 CLDS TPG MTNS NW BINOVC T00780017
ELP	2016-01-05 01:51	KELP 050151Z 10007KT 10SM OVC028 08/02 A3008 RMK AO2 SLP171 CLDS TPG MTNS NW BINOVC T00780017
ELP	2016-01-05 02:51	KELP 050251Z 12010KT 10SM OVC030 08/02 A3008 RMK AO2 SLP172 T00780017 53007
ELP	2016-01-05 03:51	KELP 050351Z 10014KT 10SM OVC030 07/00 A3008 RMK AO2 SLP170 T00670000
ELP	2016-01-05 04:51	KELP 050451Z 09009KT 10SM OVC032 06/00 A3007 RMK AO2 SLP163 T00610000
ELP	2016-01-05 05:51	KELP 050551Z 10010KT 10SM OVC032 06/01 A3007 RMK AO2 SLP166 T00610006 10078 20061 55003
ELP	2016-01-05 06:51	KELP 050651Z 06006KT 10SM OVC028 07/01 A3006 RMK AO2 SLP158 OCNL CLDS TPG MTNS NW T00670006 400831006
ELP	2016-01-05 07:51	KELP 050751Z 06003KT 10SM -RA BKN021 06/01 A3006 RMK AO2 RAB35 SLP160 P0000 T00610011
ELP	2016-01-05 08:51	KELP 050851Z 01007KT 10SM -RA OVC019 06/03 A3005 RMK AO2 SLP156 CB DSNT SW-NW MOV NE MTNS PTLY OBSCD SW-NW P0001 60001 T00560028 56006
ELP	2016-01-05 09:51	KELP 050951Z 36010KT 7SM -RA FEW010 OVC017 04/03 A3005 RMK AO2 SLP155 CB DSNT SW-NW MOV NE MTNS PTLY OBSCD SW-NW P0001 T00440028
ELP	2016-01-05 10:51	KELP 051051Z 01007KT 4SM RA BR FEW007 OVC017 04/03 A3006 RMK AO2 SLP160 MTNS PTLY OBSCD SW-NW P0005 T00390028
ELP	2016-01-05 11:51	KELP 051151Z 01009KT 6SM -RA BR FEW007 BKN017 BKN033 03/02 A3003 RMK AO2 SLP154 MTNS PTLY OBSCD SW-NW P0010 60017 70017 T00330022 10067 20033 58006
ELP	2016-01-05 12:51	KELP 051251Z 36008KT 7SM -RASN FEW007 BKN015 OVC035 03/03 A3004 RMK AO2 SNB1154 SLP157 MTNS PTLY OBSCD SW-NW P0003 T00330028
ELP	2016-01-05 13:51	KELP 051351Z 36008KT 8SM -RA FEW007 BKN014 OVC060 03/02 A3004 RMK AO2 SNE51 SLP157 MTNS PTLY OBSCD SW-NW P0001 T00330022
ELP	2016-01-05 14:42	KELP 051442Z 35008KT 8SM -RA FEW004 BKN009 OVC020 03/02 A3007 RMK AO2 CLDS TPG MTNS SW-NW P0000 T00330022 $
ELP	2016-01-05 14:51	KELP 051451Z 36008KT 8SM -RA FEW004 BKN009 OVC020 03/02 A3007 RMK AO2 SLP165 CLDS TPG MTNS SW-NW P0000 60004 T00330022 53010 $
ELP	2016-01-05 15:21	KELP 051521Z 01008KT 8SM -RA FEW004 BKN010 OVC018 03/03 A3008 RMK AO2 CLDS TPG MTNS SW-NW P0001 T00330028
ELP	2016-01-05 15:51	KELP 051551Z 35008KT 8SM FEW004 BKN010 OVC018 04/03 A3009 RMK AO2 RAE51 SLP174 MTNS PTLY OBSCD SW-NW P0002 T00390028
ELP	2016-01-05 16:51	KELP 051651Z 03003KT 8SM -RA FEW004 BKN010 OVC020 05/04 A3009 RMK AO2 RAB1553 SLP174 MTNS PTLY OBSCD SW-NW P0000 T00500039
ELP	2016-01-05 17:19	KELP 051719Z 35005KT 8SM -RA FEW004 OVC009 06/04 A3010 RMK AO2 MTNS PTLY OBSCD SW-NW P0000 T00560039
ELP	2016-01-05 17:51	KELP 051751Z 35007KT 8SM -RA FEW004 OVC009 06/04 A3009 RMK AO2 SLP172 931000 MTNS PTLY OBSCD SW-NW P0000 60006 T00610044 10061 20028 50007
ELP	2016-01-05 18:51	KELP 051851Z 36005KT 8SM -RA FEW004 OVC008 07/04 A3006 RMK AO2 SLP161 MTNS PTLY OBSCD SW-NW P0000 T00670044
ELP	2016-01-05 19:51	KELP 051951Z 34006KT 9SM -RA FEW005 OVC009 07/05 A3004 RMK AO2 SLP151 MTNS PTLY OBSCD SW-NW P0000 T00720050
ELP	2016-01-05 20:25	KELP 052025Z 02004KT 9SM -RA BKN010 OVC050 08/06 A3001 RMK AO2 MTNS PTLY OBSCD SW-NW P0000 T00780056
ELP	2016-01-05 20:51	KELP 052051Z 01003KT 8SM -RA BKN010 OVC050 08/05 A3001 RMK AO2 SLP142 MTNS PTLY OBSCD SW-NW P0000 60000 T00780050 56024
ELP	2016-01-05 21:26	KELP 052126Z 02006KT 10SM SCT012 BKN035 BKN050 09/06 A3000 RMK AO2 RAE23 MTNS PTLY OBSCD SW-NW P0000 T00890056
ELP	2016-01-05 21:51	KELP 052151Z 01005KT 10SM FEW007 SCT011 BKN050 08/06 A3000 RMK AO2 RAE23 SLP139 SCT V BKN MTNS PTLY OBSCD SW-NW P0000 T00830056
ELP	2016-01-05 22:06	KELP 052206Z 01006KT 10SM OVC011 08/06 A3000 RMK AO2 MTNS PTLY OBSCD SW-NW T00830056
ELP	2016-01-05 22:43	KELP 052243Z 03004KT 10SM SCT011 BKN045 BKN060 09/06 A2999 RMK AO2 MTNS PTLY OBSCD SW-NW T00890056
ELP	2016-01-05 22:51	KELP 052251Z 36005KT 10SM SCT010 BKN045 BKN060 08/06 A2999 RMK AO2 SLP137 MTNS PTLY OBSCD SW-NW T00830056
ELP	2016-01-05 23:51	KELP 052351Z 36006KT 10SM -RA SCT010 BKN050 BKN070 08/06 A2999 RMK AO2 RAB34 SLP137 MTNS PTLY OBSCD SW-NW P0000 60000 T00830056 10089 20056 56006
ELP	2016-01-06 00:51	KELP 060051Z 36008KT 10SM -RA FEW010 BKN040 BKN055 08/06 A3000 RMK AO2 RAE30B50 SLP142 MTNS PTLY OBSCD SW-NW P0000 T00780056
ELP	2016-01-06 01:51	KELP 060151Z 01007KT 10SM -RA FEW040 OVC065 07/06 A3001 RMK AO2 SLP144 P0001 T00720056
ELP	2016-01-06 02:51	KELP 060251Z 34006KT 7SM -RA FEW010 SCT040 OVC065 07/06 A3003 RMK AO2 SLP151 MTNS OBSCD SW AND NW P0002 60003 T00720061 53010
ELP	2016-01-06 03:38	KELP 060338Z 02005KT 10SM FEW006 SCT040 OVC070 07/06 A3003
ELP	2016-01-06 03:51	KELP 060351Z 36005KT 10SM FEW006 SCT044 OVC075 07/06 A3004 RMK AO2 RAE16 SLP154 MTNS PTLY OBSCD SW AND NW P0001 T00720056
ELP	2016-01-06 04:51	KELP 060451Z 02005KT 10SM FEW006 SCT044 BKN090 07/06 A3002 RMK AO2 SLP148 T00670056
ELP	2016-01-06 05:51	KELP 060551Z 34005KT 10SM SCT035 SCT065 BKN090 06/06 A3001 RMK AO2 SLP144 60004 T00610056 10083 20061 58004
ELP	2016-01-06 06:51	KELP 060651Z 00000KT 10SM -RA FEW035 BKN050 OVC065 07/05 A3000 RMK AO2 RAB21 SLP140 P0000 T00670050 400890028
ELP	2016-01-06 07:51	KELP 060751Z 36005KT 8SM -RA FEW035 BKN050 BKN080 07/06 A2998 RMK AO2 RAE15B48 SLP130 P0001 T00670056
ELP	2016-01-06 08:51	KELP 060851Z 01004KT 8SM BKN030 OVC070 07/06 A2997 RMK AO2 RAE40 SLP128 P0000 60001 T00670056 56012
ELP	2016-01-06 09:51	KELP 060951Z 02004KT 8SM BKN030 OVC075 06/05 A2996 RMK AO2 SLP124 T00610050
ELP	2016-01-06 10:51	KELP 061051Z 07005KT 8SM BCFG FEW013 BKN030 OVC075 06/05 A2995 RMK AO2 RAB23E33 SLP120 P0000 T00610050
ELP	2016-01-06 11:20	KELP 061120Z 13004KT 4SM -RA BR SCT009 BKN030 OVC070 06/06 A2994 RMK AO2 RAB12 MTNS PTLY OBSCD SW-NW P0002 T00610056
ELP	2016-01-06 11:51	KELP 061151Z 22004KT 4SM BR FEW009 BKN030 OVC070 06/06 A2993 RMK AO2 RAB12E45 SLP114 MTNS PTLY OBSCD SW-NW P0003 60004 70014 T00610056 10067 20061 58012
ELP	2016-01-06 12:51	KELP 061251Z 00000KT 4SM BCFG FEW009 FEW027 SCT080 06/05 A2994 RMK AO2 SLP116 T00560050
ELP	2016-01-06 13:45	KELP 061345Z 00000KT 7SM BCFG FEW010 BKN026 OVC070 06/06 A2994 RMK AO2
ELP	2016-01-06 13:51	KELP 061351Z 00000KT 7SM BCFG FEW009 BKN026 OVC070 06/06 A2995 RMK AO2 SLP121 MTNS PTLY OBSCD SW-NW T00610056
ELP	2016-01-06 14:07	KELP 061407Z 00000KT 6SM BR BKN007 BKN027 06/05 A2995 RMK AO2 MTNS PTLY OBSCD SW-NW T00560050
ELP	2016-01-06 14:22	KELP 061422Z 15005KT 5SM BR BKN004 OVC014 06/05 A2995 RMK AO2 MTNS PTLY OBSCD SW-NW T00560050
ELP	2016-01-06 14:38	KELP 061438Z 21003KT 2SM BR SCT001 BKN002 OVC007 07/06 A2995 RMK AO2 MTNS OBSCD SW-NW T00670061
ELP	2016-01-06 14:41	KELP 061441Z 21004KT 1 3/4SM BR BKN001 OVC007 07/06 A2996 RMK AO2 MTNS OBSCD SW-NW T00670061 $
ELP	2016-01-06 14:51	KELP 061451Z 19005KT 1/4SM FG BKN001 OVC002 07/06 A2996 RMK AO2 SLP125 MTNS OBSCD SW-NW T00670061 53009 $
ELP	2016-01-06 15:05	KELP 061505Z 18005KT 1/16SM FG VV001 07/06 A2997 RMK AO2 MTNS OBSCD SW-NW T00670061 $
ELP	2016-01-06 15:51	KELP 061551Z 00000KT 1/4SM -RA FG BKN001 OVC002 07/06 A2998 RMK AO2 RAB17 SLP130 MTNS OBSCD SW-NW P0001 T00670061 $
ELP	2016-01-06 16:22	KELP 061622Z 07003KT 1/2SM -RA FG SCT001 OVC002 07/06 A2996 RMK AO2 PRESFR MTNS OBSCD SW-NW P0003 T00670061 $
ELP	2016-01-06 16:35	KELP 061635Z 15004KT 2SM BR FEW001 SCT002 BKN005 07/07 A2998 RMK AO2 RAE33 MTNS OBSCD SW-NW P0003 T00670067 $
ELP	2016-01-06 16:51	KELP 061651Z 16006KT 3SM -RA BR FEW001 BKN016 OVC055 07/07 A2998 RMK AO2 RAE33B37 SLP131 MTNS OBSCD SW-NW P0003 T00720067 $
ELP	2016-01-06 17:06	KELP 061706Z 15004KT 5SM BR BKN001 BKN043 BKN055 07/07 A2998 RMK AO2 RAE1658 MTNS OBSCD SW-NW P0000 T00720072
ELP	2016-01-06 17:22	KELP 061722Z 15004KT 5SM BR BKN004 BKN043 BKN055 07/07 A2999 RMK AO2 RAE1658 MTNS OBSCD SW-NW P0000 T00720067
